Timestamp,C_Gaze,Env,C_Movement,
0.000000,away,alone,active,
0.041667,away,alone,active,
0.083333,away,alone,active,
0.125000,away,alone,active,
0.166667,away,alone,active,
0.208333,away,alone,active,
0.250000,away,alone,active,
0.291667,away,alone,active,
0.333333,away,alone,active,
0.375000,away,alone,active,
0.416667,away,alone,active,
0.458333,away,alone,active,
0.500000,away,alone,active,
0.541667,away,alone,active,
0.583333,away,alone,active,
0.625000,away,alone,active,
0.666667,away,alone,active,
0.708333,away,alone,active,
0.750000,away,alone,active,
0.791667,away,alone,active,
0.833333,away,alone,active,
0.875000,away,alone,active,
0.916667,away,alone,active,
0.958333,away,alone,active,
1.000000,away,alone,active,
1.041667,away,alone,active,
1.083333,away,alone,active,
1.125000,away,alone,active,
1.166667,away,alone,active,
1.208333,away,alone,active,
1.250000,away,alone,active,
1.291667,away,alone,active,
1.333333,away,alone,active,
1.375000,away,alone,active,
1.416667,away,alone,active,
1.458333,away,alone,active,
1.500000,away,alone,active,
1.541667,away,alone,active,
1.583333,away,alone,active,
1.625000,away,alone,active,
1.666667,away,alone,active,
1.708333,away,alone,active,
1.750000,away,alone,active,
1.791667,away,alone,active,
1.833333,away,alone,active,
1.875000,away,alone,active,
1.916667,away,alone,active,
1.958333,away,alone,active,
2.000000,away,alone,active,
2.041667,away,alone,active,
2.083333,away,alone,active,
2.125000,away,alone,active,
2.166667,away,alone,active,
2.208333,away,alone,active,
2.250000,away,alone,active,
2.291667,away,alone,active,
2.333333,away,alone,active,
2.375000,away,alone,active,
2.416667,away,alone,active,
2.458333,away,alone,active,
2.500000,away,alone,active,
2.541667,away,alone,active,
2.583333,away,alone,active,
2.625000,away,alone,active,
2.666667,away,alone,active,
2.708333,away,alone,active,
2.750000,away,alone,active,
2.791667,away,alone,active,
2.833333,away,alone,active,
2.875000,away,alone,active,
2.916667,away,alone,active,
2.958333,away,alone,active,
3.000000,away,alone,active,
3.041667,away,alone,active,
3.083333,away,alone,active,
3.125000,away,alone,active,
3.166667,away,alone,active,
3.208333,away,alone,active,
3.250000,away,alone,active,
3.291667,away,alone,active,
3.333333,away,alone,active,
3.375000,away,alone,active,
3.416667,away,alone,active,
3.458333,away,alone,active,
3.500000,away,alone,active,
3.541667,away,alone,active,
3.583333,away,alone,active,
3.625000,away,alone,active,
3.666667,away,alone,active,
3.708333,away,alone,active,
3.750000,away,alone,active,
3.791667,away,alone,active,
3.833333,away,alone,active,
3.875000,away,alone,active,
3.916667,away,alone,active,
3.958333,robot,alone,active,
4.000000,robot,alone,active,
4.041667,robot,alone,active,
4.083333,robot,alone,active,
4.125000,robot,alone,active,
4.166667,robot,alone,active,
4.208333,robot,alone,active,
4.250000,robot,alone,active,
4.291667,robot,alone,active,
4.333333,robot,alone,active,
4.375000,robot,alone,active,
4.416667,robot,alone,active,
4.458333,robot,alone,active,
4.500000,robot,alone,active,
4.541667,robot,alone,active,
4.583333,robot,alone,active,
4.625000,robot,alone,active,
4.666667,robot,alone,active,
4.708333,robot,alone,active,
4.750000,robot,alone,active,
4.791667,robot,alone,active,
4.833333,tablet,alone,active,
4.875000,tablet,alone,active,
4.916667,tablet,alone,active,
4.958333,tablet,alone,active,
5.000000,tablet,alone,active,
5.041667,tablet,alone,active,
5.083333,tablet,alone,active,
5.125000,tablet,alone,active,
5.166667,tablet,alone,active,
5.208333,tablet,alone,active,
5.250000,tablet,alone,active,
5.291667,tablet,alone,active,
5.333333,tablet,alone,active,
5.375000,tablet,alone,active,
5.416667,tablet,alone,active,
5.458333,tablet,alone,active,
5.500000,tablet,alone,active,
5.541667,tablet,alone,active,
5.583333,tablet,alone,active,
5.625000,tablet,alone,active,
5.666667,tablet,alone,active,
5.708333,tablet,alone,active,
5.750000,tablet,alone,active,
5.791667,tablet,alone,active,
5.833333,tablet,alone,active,
5.875000,tablet,alone,active,
5.916667,tablet,alone,active,
5.958333,tablet,alone,active,
6.000000,tablet,alone,active,
6.041667,tablet,alone,active,
6.083333,tablet,alone,active,
6.125000,tablet,alone,active,
6.166667,tablet,alone,active,
6.208333,tablet,alone,active,
6.250000,tablet,alone,active,
6.291667,tablet,alone,active,
6.333333,tablet,alone,active,
6.375000,tablet,alone,active,
6.416667,tablet,alone,active,
6.458333,tablet,alone,active,
6.500000,tablet,alone,active,
6.541667,tablet,alone,active,
6.583333,tablet,alone,active,
6.625000,tablet,alone,active,
6.666667,tablet,alone,active,
6.708333,tablet,alone,active,
6.750000,tablet,alone,active,
6.791667,tablet,alone,active,
6.833333,tablet,alone,active,
6.875000,tablet,alone,active,
6.916667,tablet,alone,active,
6.958333,tablet,alone,active,
7.000000,tablet,alone,active,
7.041667,tablet,alone,active,
7.083333,tablet,alone,active,
7.125000,tablet,alone,active,
7.166667,tablet,alone,active,
7.208333,tablet,alone,active,
7.250000,tablet,alone,active,
7.291667,tablet,alone,active,
7.333333,tablet,alone,active,
7.375000,tablet,alone,active,
7.416667,tablet,alone,active,
7.458333,tablet,alone,active,
7.500000,tablet,alone,active,
7.541667,tablet,alone,active,
7.583333,tablet,alone,active,
7.625000,tablet,alone,active,
7.666667,tablet,alone,active,
7.708333,tablet,alone,active,
7.750000,tablet,alone,active,
7.791667,tablet,alone,active,
7.833333,tablet,alone,active,
7.875000,tablet,alone,active,
7.916667,tablet,alone,active,
7.958333,tablet,alone,active,
8.000000,tablet,alone,active,
8.041667,tablet,alone,active,
8.083333,tablet,alone,active,
8.125000,tablet,alone,active,
8.166667,tablet,alone,active,
8.208333,tablet,alone,active,
8.250000,tablet,alone,active,
8.291667,tablet,alone,active,
8.333333,tablet,alone,active,
8.375000,tablet,alone,active,
8.416667,tablet,alone,active,
8.458333,tablet,alone,active,
8.500000,tablet,alone,active,
8.541667,tablet,alone,active,
8.583333,tablet,alone,active,
8.625000,tablet,alone,active,
8.666667,tablet,alone,active,
8.708333,tablet,alone,active,
8.750000,tablet,alone,active,
8.791667,tablet,alone,active,
8.833333,tablet,alone,active,
8.875000,tablet,alone,active,
8.916667,tablet,alone,active,
8.958333,tablet,alone,active,
9.000000,tablet,alone,active,
9.041667,tablet,alone,active,
9.083333,tablet,alone,active,
9.125000,tablet,alone,active,
9.166667,tablet,alone,active,
